juris,sector,ambito,departamento,cod_depar,localidad,cod_loca,cueanexo,nombre,domicilio,cod_postal,telefono,mail,mod_comun,mod_especial,mod_adultos,ec_mat,ec_jar,ec_pri,ec_sec,ec_sec_inet,ec_snu,ec_snu_inet,ec_snu_cursos,esp_tem,esp_ini,esp_pri,esp_sec,esp_int,ad_pri,ad_sec,ad_fp,ad_fp_inet,ad_alf,hos_ini,hos_pri,hos_sec,tall_art,ser_com_
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA NAPENAY,34035080,340002100,EPEP Nº 307 TIERRA DEL FUEGO,RNNº95   COLONIA NAPENAY,P3620,3716 03716546,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA BARTOLOME DE LAS CASAS,34035619,340002200,NEP Y FP Nº 28 - EX EDIFICIO EPEP Nº 199,   COLONIA ABORIGEN B.DE LAS CASAS,P3622,03704 507863,mamibotini65 @hotmail.com (personal de la directora),,,1,,,,,,,,,,,,,,,1,,1,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,LOMA HERMOSA,34049078,340002400,EPEP Nº 208 REPÚBLICA DEL LIBANO,RUTA COMPLEMENTARIA Nº6   LOMA HERMOSA,P3611,03718 15537981,escuelita208@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,RIACHO HE-HE,34049105,340002500,EJI Nº 12 NIDITO DE AMOR,RP Nº 2  CENTRO ,P3611,0 0,eji12riachohehe@yahoo.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,RIACHO HE-HE,34049105,340002501,EJI Nº 12 - JIM Nº 2 DR. HECTOR R. BALMACEDA,SIXTO AYALA  CENTRO RIACHO HE HE,P3611,3718 546147,EJI12RIACHOHEHE@YAHOO.COM.AR,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,RIACHO HE-HE,34049105,340002502,EJI Nº 12 - EPEP Nº 39,  LA PAZ RIACHO HE-HE,P3600,0 0,eji12riachohehe@yahoo.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,LA FRONTERA,34049074,340002503,EJI Nº 12 - EPEP Nº 70,RP Nº 6   LA FRONTERA,3613,0 0,eji12riachohehe@yahoo.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,LOMA HERMOSA,34049078,340002504,EJI Nº 12 - EPEP Nº 208 CANTITO DE AMOR,RUTA COMPLEMENTARIA Nº 6   LOMA HERMOSA,3611,0 0,eji12riachohehe@yahoo.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,EL RECODO,34049036,340002505,EJI Nº 12 - EPEP Nº 317,   EL RECODO,3600,0 0,eji12riachohehe@yahoo.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,ESPERANZA,34049038,340002506,EJI Nº 12 - EPEP Nº 364 MI MUNDO FELIZ,  LA ESPERANZA RIACHO HE-HE,3611,0 0,EJI12RIACHOHEHE@YAHOO.COM.AR,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,MARTIN FIERRO,34049084,340002507,EJI Nº 12 - EPEP Nº 264,RP Nº 2   ,P3611,0 0,eji12riachohehe@yahoo.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,RIACHO HE-HE,34049105,340002508,EJI Nº 12 - EPEP Nº 85,  OBRERO RIACHO HE-HE,P3611,0 0,EJI12RIACHOHEHE@YAHOO.COM.AR,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILCOMAYO,34049,EL RECODO,34049036,340002509,EJI Nº 12 - EPEP Nº 119 OSITOS CARIÑOSOS,   EL RECODO,P3611,0 0,"eji12riachohehe@yahoo,com.ar",1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,LAGUNA BLANCA,34049075,340002600,ISFDCyT PTE JUAN DOMINGO PERÓN,AV. SORRENTO CARLOS CRITELLI S/N  ,P3613,03718 401714,ISFD FORMOSA.RFFDC.EDU.AR,1,,,,,,,,1,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,LAGUNA BLANCA,34049075,340002700,EPES Nº 22 MALVINAS ARGENTINAS,AV. NESTOR KICHNER   ,P3613,03718 401364,epes22_malvinasargentinas@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILCOMAYO,34049,RIACHO HE-HE,34049105,340002800,EPEP Nº 49 SAN JOSE DE CALASANZ,CARLOS SAMANIOGO S/N   PASCUAL MAGLIETI Y AV. SAN MARTIN S/N,P3611,03704 412867,escuela49riacho@hotmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340002900,EPEP Nº 224 FORTIN YUNKA,FOTHERINGHAN 1860 OBRERO ,P3600,3704 376549,epepn224@outlook.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340003000,EPE DOMICILIARIA Y HOSPITALARIA Nº 1 DON J.B. CACERES,AYACUCHO Y JULIO A ROCA  DON BOSCO ,P3600,370 4685796,ESCUELAHOSPITALARIAFORMOSA@HOTMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340003100,NEP Y FP Nº 05 GREGORIA MATORRAS,FOTHERINGHAM 1880 OBRERO ,P3600,3704 262254,delvallenep5@gmail.com,,,1,,,,,,,,,,,,,,,1,,1,,,,,,1
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340003102,NEP Y FP Nº 05 - EPEP Nº 407 CARLOS F. CORDOBA,JUAN LUIS DIAZ 1400 SAN JUAN BAUTISTA EPEP Nº 407,P3600,3704 622254,delvallenep5@gmail.com,,,1,,,,,,,,,,,,,,,1,,1,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340003108,NEP Y FP Nº 05 - CAPILLA VIRGEN DEL PILAR,BRANDZEN 2000 LA PILAR CAPILLA,P3600,3704 262254,delvallenep5@gmail.com,,,1,,,,,,,,,,,,,,,,,1,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340060100,EPEP Nº268 DON HECTOR MANUEL PERIS,MASSAFERRO 631 SAN AGUSTÍN ,P3600,4422713,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340003109,NEP Y FP Nº 05 - SALÓN MULTIUSO INMACULADA CONCEPCION,JUJUY 1657 VILLA HERMOSA MORATALLA Y JUJUY,P3600,3704 262254,delvallenep5@gmail.com,,,1,,,,,,,,,,,,,,,1,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,TRES LAGUNAS,34042087,340003300,EPES Nº 21 GRAL JULIO A ROCA,MANUEL DÍAZ   CENTRO TRES LAGUNAS,P3611,3718 407084,epes_21@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,LAGUNA GALLO,34042047,340003500,EPEP Nº 108 MARCOS AREVALOS,   LAGUNA GALLO,P3611,3718 686342,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,EL POMBERO,34042024,340003502,EPEP Nº 108 ANEXO 2 (EX EPEP Nº 185),   EL POMBERO,P3611,37018 686342,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,LOMA ZAPATU,34042051,340003800,EPEP Nº 269 CONCEPCION RIVEROS DE PALACIO,   LOMA ZAPATU,P3611,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,VILLA HERMOSA,34042089,340003900,EPEP Nº 38,RP Nº6   COLONIA VILLA HERMOSA,P3611,3718 576445,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,VILLA HERMOSA,34042089,340004000,EPEP Nº 40 PRESIDENTE ARAMBURU,   VILLA HERMOSA,P3611,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,TRES LAGUNAS,34042087,340004100,EPEP Nº 74 DR. RICARDO ROJAS,"OSCAR DELMIRO MARIN  CENTRO MARIN, OSCAR DELMIRO S/Nº TRES LAGUNAS",P3611,3717 699771,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,LAGUNA TORO,34042098,340004200,EPEP Nº 214 MARTIN MIGUEL DE GÜEMES,RP Nº3   RUTA 3 (TRES) - LAGUNA TORO,P3611,03718 15411800,Escuelaprimaria214@hotmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,BUENA VISTA,34042008,340004300,EPEP DE FRONTERA Nº 10 CLOTILDE G. MOLINA,RP Nº4   RP N° 4 Y BS.AS- BUENA VISTA,P3615,037 45454,clotildegmolina@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,BUENA VISTA,34042008,340004400,EPEP Nº 339,RUTA NAC. Nº86 DOC.ARG.   BUENA VISTA,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,JULIO CUE,34042042,340004500,EPEP Nº 353 ESTADOS UNIDOS DE AMERICA,   JULIO CUE,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,VILLA REAL,34042091,340004600,EPEP Nº 107 MIGUEL ANGEL ULLIVARRI,RP Nº3   VILLA REAL,P3615,03718 620155,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,COLONIA EL CEIBO,34042016,340004601,EPEP Nº 107 ANEXO 1 (EX EPEP Nº 337),   COLONIA EL CEIBO,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,VISTA ALEGRE,34042094,340004700,EPEP Nº 457,   VISTA ALEGRE,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,LORO CUE,34042052,340004800,EPEP Nº 280 PROVINCIA SANTIAGO DEL ESTERO,   LORO CUE,P3615,00 00,emiliana280@hotmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,APAYEREY,34042003,340004900,EPEP Nº 223 MARTIN MIGUEL DE GÜEMES,   APAYEREY,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,APAYEREY,34042003,340005000,EPEP Nº 118 MAESTRO ROQUE JACINTO ANTONIO LUCERO,   APAYEREY,P3615,3718 679457,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILAGAS,34042,EL ESPINILLO,34042023,340005100,EPEP Nº 133 ROSARITO VERA  PEÑALOZA,RUTA NAC.86 DOCENTES ARGENTINOS  8 DE DICIEMBRE RUTA 86,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PILAGAS,34042,EL ESPINILLO,34042023,340005200,NEP Y FP Nº 22,   AV.9 DE JULIO,P3615,03718 530082,nepyfpadultos_22@hotmail.com,,,1,,,,,,,,,,,,,,,1,,1,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,ISLA AZUL,34042038,340005300,EPEP Nº 289 GRANADERO BAIGORRIA,  ISLA AZUL RNN° 86,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PILAGAS,34042,VILLA RURAL,34042092,340005400,EPEP Nº 443,VILLA RURAL CATALINO SAAVEDRA   RNN° 86,P3615,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340005500,EPEP Nº 179 DR. JUAN BAUTISTA ALBERDI,SALTA 1550 DON BOSCO ,P3600,0 0,epepn179@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PIRANE,34056,EL COLORADO,34056091,340005600,EPES Nº 1 GRANADEROS A CABALLO,BRASIL  LA PEÑA ,P3603,0370 4480123,mcye.epes1@formosa.gov.ar,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,
Formosa,Privado,Urbano,PIRANE,34056,EL COLORADO,34056091,340005900,INSTITUTO ADVENTISTA COMANDANTE FONTANA - Ñ8,CORDOBA 454 9 DE JULIO ,P3603,3603 3704481172,iinstituto.iacof@educacionadventista.org.ar,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA ENSANCHE NORTE,34035623,340006300,EPEP Nº 422,RNNº81   ,P3624,3716 401539,mcye.epep422@formosa.gov.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA EL CATORCE,34035621,340006400,EPEP Nº 363,SAN MARTIN 987  ,P3624,0 385142,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PATIÑO,34035,IBARRETA,34035265,340006500,NEP Y FP Nº 03 - EPEP Nº 64,SARMIENTO 860  EPEP Nº64,P3624,3716 432110,hugoorlandofernandez@yahoo.com.ar,,,1,,,,,,,,,,,,,,,1,,1,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA EL ZAPALLITO,34056056,340006600,EPEP Nº 109,   COLONIA EL ZAPALLITO,P3603,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,EL POI,34056103,340006700,EPEP Nº 381,   EL POI,P3602,0 3704- 355539 (cel) o 3704- 492426 (fijo),hbtocar@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PIRANE,34056,VILLA KILOMETRO 213,34056287,340006800,CESEP Nº 1,SARMIENTO 526  EPEP Nº54,P3603,3704 341845,cesep1muavilladostrece@gmail.com,,,1,,,,,,,,,,,,,,,,1,1,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA LAKA-WICHI,34035633,340007000,EPEP Nº 328 PROVINCIA DE TUCUMAN,   COL. LAKA-WICHI - POZO DEL TIGRE,P3628,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,VILLA GENERAL URQUIZA,34035607,340007100,EPEP Nº 72 ANTONIO D'ANUNCIO MAYULI (EX EPEP Nº 09A02),VILLA GENERAL URQUIZA   VILLA GRAL.URQUIZA,P3628,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,LA INVERNADA,34035313,340007200,EPEP Nº 342 FRAY JUSTO SANTA MARIA DE ORO,   PARAJE LA INVERNADA,P3628,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PATIÑO,34035,POZO DEL TIGRE,34035498,340007300,EPEP Nº 512,CLOTA CHARPENTIER  ALBERDI AYACUCHO Y SAN MARTIN,P3628,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PATIÑO,34035,POZO DEL TIGRE,34035498,340007500,EJI Nº 30,ROBLES LUNA Y SAN MARTIN  CENTRO Bº CENTRO - POZO DEL TIGRE -,P3628,3628 03715493117,alejandrabeatrizromano@gmail.com,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PATIÑO,34035,POZO DEL TIGRE,34035498,340007501,EJI Nº 30 ANEXO 1 - Bº ESPAÑA,FELIPE SILVENI   FELIPE SILVENI Y HNA ANGELA RODRIGUEZ,P3628,0 03715-493117,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA EL ENSANCHE,34035066,340007700,EPEP Nº 221 CEFERINO NAMUNCURA,   COLONIA EL ENSANCHE,P3624,0 03716-432046,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PATIÑO,34035,IBARRETA,34035265,340007800,EPEP Nº 408 PADRE PATIÑO,GRACIANO SAWISKY S/N  SAN MIGUEL ,P3624,3704 3704625256,esc.n°408ibarreta@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,COLONIA ISLA SOLA,34035072,340007801,EPEP Nº 408 ANEXO 1 (EX EPEP Nº 204),   COLONIA ISLA SOLA,P3624,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,CAMPO TRES POZOS,34035632,340007900,EPEP Nº 402,   CAMPO TRES POZOS,P3632,0 0,epepwichi.trespozos@yahoo.com.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,EL DESCANSO,34035143,340008000,EPEP Nº 442,   EL DESCANSO,P3630,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,LAS LOMITAS,34035369,340008100,EPEP Nº 510,RP  28 NORTE   COMUNIDAD ABORIGEN LAQTASATANYI,P3630,00 0000,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA EL COMIENZO,34056049,340008200,EPEP Nº 315 PROVINCIA DE SAN LUIS,   COLONIA EL COMIENZO,P3608,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,LOTE 11,34056189,340008300,EPEP Nº 375 NUESTRA SEÑORA DE LORETO,   LOTE 11,P3608,3704 377017,elprofe32@outlook.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,LAISHI,34021,SAN FRANCISCO DE LAISHI,34021097,340008800,EPES AGROTÉCNICA Nº 2 FRAY BUENAVENTURA GIULIANI (EX M007AGT),RP N 1   RP N° 1 - KM 47,P3605,0 0,VeraJorge@yahoo.com.ar,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,COLONIA EL DORADO,34021020,340008900,EPEP Nº 465 GABRIEL Y DARIO RAMOS,   PARAJE EL DORADO,P3605,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,ESTERITO,34021051,340009200,EPEP Nº 121 PTE. JUAN DOMINGO PERÓN,   ESTERITO,P3601,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,EL ANGELITO,34021036,340009300,EPEP Nº 77 ESTEBAN WALDINO CACERES,RP Nº1   EL ANGELITO,P3605, ,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,PASO POLENTA,34021088,340009301,EPEP Nº 77 ANEXO 1 (EX EPEP Nº 348),RUTA PCIAL.1   PASO POLENTA,P3605,3131 01111,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,RIACHO LINDO,34021095,340009400,EPEP Nº 68 LEONARDO ACOSTA,RP Nº5   RP  Nº 5 -RIACHO LINDO,P3601,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,TRES MOJONES,34021108,340009401,EPEP Nº 68 ANEXO 1 (EX EPEP Nº 141 FRANCISCO E. GONZALEZ),RP Nº5   RP  N° 5,P3601,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PIRANE,34056,COLONIA CAMPO VILLAFAÑE,34056045,340009600,EPES Nº 11 Cabo 1º Roberto Antonio Báez,PADRE FELRLINI  351  COLONIA MAYOR EDMUNDO VILLAFAÑE,P3609,370 4490119,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA EL RINCON,34056054,340009700,EPEP Nº 200 CIRILO SBARDELLA,RP Nº21   COLONIA EL RINCON,P3601,03704 062025,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,EL SALADILLO,34056105,340009800,EPEP Nº 466,   EL SALADILLO,P3601,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA EL CHAJA,34056048,340009900,EPEP Nº 323,   COLONIA EL CHAJA,P3601,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,LA PICADITA,34056177,340010000,EPEP Nº 127 CAPITÁN FACUNDO SOLARI,   CRUCE LA PICADITA,P3609,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA EL OLVIDO,34056051,340010100,EPEP Nº 112 JOSE HERNANDEZ,   COLONIA EL OLVIDO,P3609,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,LA ESPERANZA,34056174,340010200,EPEP Nº 47 POLICÍA FEDERAL ARGENTINA,   LA ESPERANZA,P3601,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,LAISHI,34021,GENERAL LUCIO V. MANSILLA,34021056,340010300,NEP Y FP Nº 26 - EX EPEP Nº 201,SARMIENTO Y MORENO S/N  GENERAL LUCIO V. MANSILLA,P3526,3704 677699,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,CABO ADRIANO AYALA,34021008,340010301,NEP Y FP Nº 26 - EPEP Nº 43,   EX KM 100 NBR,P3526,3704 713876,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
Formosa,Estatal,Rural,LAISHI,34021,POTRERO DE LOS CABALLOS,34021091,340010302,NEP Y FP Nº 26 - EPEP Nº 105,   POTRERO DE LOS CABALLOS,P3626,3704 599156,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
